,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,price_log,distrito_barajas,distrito_carabanchel,distrito_centro,distrito_chamartín,distrito_chamberí,distrito_ciudad_lineal,distrito_fuencarral___el_pardo,distrito_hortaleza,distrito_latina,distrito_moncloa___aravaca,distrito_moratalaz,distrito_puente_de_vallecas,distrito_retiro,distrito_salamanca,distrito_san_blas___canillejas,distrito_tetuán,distrito_usera,distrito_vicálvaro,distrito_villa_de_vallecas,distrito_villaverde,rt_hotel_room,rt_private_room,rt_shared_room,air_conditioning,kitchen_and_else,tv,wifi,white_goods,elevator,long_term_stays,Sentiment_Score_Afinn,commo
0,21853,0,0,0,0.0,2.0,1,1,1,1,29.0,4,40,233,33,0,4.58,4.72,4.56,4.75,4.82,4.21,4.67,0,0.26,3.367295829986474,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,10.030303030303031,0
1,62423,1,100,100,0.0,3.0,4,1,1,2,77.0,1,30,298,227,46,4.64,4.78,4.43,4.8,4.85,4.97,4.58,0,2.73,4.343805421853684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,8.805429864253394,1
2,70059,2,100,100,0.0,2.0,2,1,1,1,66.0,15,365,54,61,0,4.68,4.75,4.75,4.85,4.9,4.95,4.53,0,0.36,4.189654742026425,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,9.114754098360656,1
3,70310,1,100,100,0.0,29.0,2,1,1,2,89.0,30,360,289,29,0,4.36,4.62,4.52,4.82,4.69,4.86,4.11,0,0.17,4.48863636973214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,7.655172413793103,0
4,72150,1,100,96,0.0,8.0,6,1,3,5,173.0,3,180,163,126,17,4.61,4.62,4.4,4.86,4.85,4.85,4.47,0,0.74,5.153291594497779,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,8.744,1
5,84719,0,0,100,0.0,1.0,2,1,1,1,72.0,7,1125,53,184,0,4.68,4.78,4.87,4.82,4.85,4.44,4.69,0,1.09,4.276666119016055,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10.775956284153006,0
6,86042,1,100,96,0.0,8.0,6,1,3,3,189.0,3,365,163,222,24,4.83,4.82,4.67,4.88,4.92,4.92,4.69,0,1.33,5.241747015059643,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,12.153153153153154,1
8,598771,1,100,95,0.0,3.0,3,1,1,1,94.0,3,65,208,100,14,4.82,4.81,4.88,4.88,4.92,4.88,4.81,0,0.71,4.543294782270004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,11.95,1
9,605339,2,100,59,1.0,4.0,1,1,1,1,35.0,3,31,41,280,37,4.88,4.93,4.91,4.96,4.98,4.63,4.88,0,1.84,3.5553480614894135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,9.924460431654676,0
10,608742,1,100,100,1.0,5.0,2,1,0,1,89.0,2,60,17,688,59,4.76,4.74,4.94,4.89,4.92,4.97,4.75,1,4.49,4.48863636973214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,9.21656976744186,0
11,618576,1,100,100,1.0,5.0,2,1,0,2,90.0,2,60,12,498,64,4.83,4.89,4.97,4.88,4.92,4.94,4.8,0,3.28,4.499809670330265,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,8.931174089068826,1
12,114854,1,100,100,0.0,7.0,4,1,1,2,87.0,2,90,15,183,36,4.63,4.64,4.62,4.85,4.85,4.82,4.55,1,1.12,4.465908118654584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,7.382513661202186,1
13,136058,1,100,100,0.0,1.0,1,1,1,1,24.0,1,1125,0,97,0,4.94,4.96,4.95,4.98,4.98,4.74,4.93,0,0.58,3.1780538303479458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,14.708333333333334,1
14,167183,2,91,70,1.0,2.0,2,1,1,2,86.0,1,1125,344,45,3,4.89,4.86,4.93,4.89,4.86,4.84,4.86,0,0.29,4.454347296253507,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,11.22222222222222,1
15,196197,1,100,100,0.0,4.0,2,1,1,1,82.0,3,1125,14,468,50,4.71,4.71,4.77,4.81,4.86,4.87,4.63,0,2.85,4.406719247264253,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,10.623126338329763,1
16,198296,1,100,82,1.0,3.0,4,1,2,3,170.0,2,7,9,82,5,4.75,4.73,4.6,4.88,4.91,4.97,4.67,0,0.54,5.135798437050262,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,12.195121951219512,1
17,199016,1,100,82,1.0,3.0,2,1,1,1,48.0,3,365,337,58,26,4.72,4.82,4.77,4.84,4.81,4.97,4.67,0,0.49,3.871201010907891,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,9.862068965517242,1
18,628394,1,100,100,0.0,3.0,9,1,4,4,351.0,2,730,106,85,6,4.6,4.56,4.64,4.67,4.73,4.87,4.48,1,0.56,5.860786223465865,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,7.857142857142857,0
19,644656,2,100,0,0.0,2.0,1,1,1,1,35.0,7,1125,0,4,0,5.0,5.0,4.25,5.0,5.0,4.75,4.5,0,0.06,3.5553480614894135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,4.75,0
20,655514,2,100,0,0.0,2.0,2,1,1,2,30.0,4,1125,311,5,0,4.8,5.0,4.8,4.75,5.0,5.0,3.8,0,0.19,3.4011973816621555,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,6.2,0
21,668753,4,20,0,0.0,2.0,1,1,1,1,46.0,4,30,2,81,0,4.85,4.83,4.86,4.89,4.81,4.85,4.76,0,0.58,3.828641396489095,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,13.716049382716047,0
22,684564,3,100,100,0.0,1.0,2,1,1,2,229.0,2,30,269,171,8,4.73,4.78,4.89,4.86,4.91,4.97,4.6,0,1.23,5.43372200355424,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,12.4,1
23,199201,1,100,93,1.0,2.0,2,1,1,1,120.0,3,30,25,209,17,4.88,4.87,4.91,4.98,4.99,5.0,4.82,0,1.27,4.787491742782046,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,16.781094527363184,1
24,204570,3,100,50,0.0,4.0,5,2,2,2,177.0,12,365,88,105,2,4.84,4.84,4.82,4.94,4.91,4.97,4.83,0,0.64,5.176149732573829,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,15.714285714285714,1
25,205199,1,100,99,0.0,8.0,2,1,0,1,86.0,15,365,271,361,28,4.93,4.97,4.97,4.96,4.95,4.94,4.91,0,2.2,4.454347296253507,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,12.105849582172702,0
26,211444,1,100,92,1.0,2.0,2,1,1,1,68.0,2,365,263,221,31,4.94,4.96,4.99,4.99,4.96,4.81,4.93,0,1.36,4.219507705176107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,15.27570093457944,1
27,229664,1,94,99,0.0,24.0,3,0,1,2,57.0,10,1125,282,553,16,4.28,4.44,4.17,4.51,4.62,4.47,4.34,1,3.39,4.04305126783455,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,7.176684881602914,0
28,696928,1,100,100,0.0,2.0,2,1,1,4,75.0,2,2,365,102,15,4.4,4.44,4.74,4.76,4.67,4.71,4.17,0,0.99,4.31748811353631,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,6.49,0
29,704155,1,100,100,1.0,13.0,4,1,1,1,87.0,1,60,19,416,58,4.76,4.75,4.72,4.89,4.89,4.9,4.71,1,2.77,4.465908118654584,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10.248192771084335,1
